Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,93.16999999999999,1118.04,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,EU (London),,Amazon RDS for MySQL,0,93.16999999999999,1118.04,USD,,"Storage amount (20 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.t3.medium), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.7561000000), Cost for each additional month of retention (per vCPU per month) (0.0739000000), Cost for total retention (per vCPU per month) (2.79), Additional backup storage (100 GB), Total Size of Backup Processed for Export (GB) (100 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
